ts,GC=F,GLD,IEF,TLT,TIP,SHY,BIL,UUP,EURUSD=X,JPY=X,CNY=X,CL=F,HG=F,DBC,ES=F,NQ=F,RTY=F,BTC-USD,HYG,JNK,LQD,^VIX,^VVIX,^MOVE,FXI,KWEB,EWJ,SPY,QQQ,IWM
2026-05-25T06:30:00,,,,,,,,,1.16441547870636,158.91400146484375,6.780200004577637,,,,,,,77317.640625,,,,,,,,,,,,
2026-05-25T06:45:00,,,,,,,,,1.16441547870636,158.8979949951172,6.78000020980835,,,,,,,77330.9765625,,,,,,,,,,,,
2026-05-25T07:00:00,,,,,,,,,1.164008855819702,158.98899841308594,6.780700206756592,,,,,,,77239.9609375,,,,,,,,,,,,
2026-05-25T07:15:00,,,,,,,,,1.1637378931045532,159.0229949951172,6.782800197601318,,,,,,,77122.3984375,,,,16.760000228881836,,,,,,,,
2026-05-25T07:30:00,,,,,,,,,1.163873314857483,158.9669952392578,6.783100128173828,,,,,,,77222.0078125,,,,16.729999542236328,,,,,,,,
2026-05-25T07:45:00,,,,,,,,,1.164008855819702,158.968994140625,6.783199787139893,,,,,,,77310.8125,,,,16.719999313354492,,,,,,,,
2026-05-25T08:00:00,,,,,,,,,1.1642799377441406,158.9290008544922,6.781899929046631,,,,,,,77202.7109375,,,,16.739999771118164,,,,,,,,
2026-05-25T08:15:00,,,,,,,,,1.16441547870636,158.92999267578125,6.782700061798096,,,,,,,77229.796875,,,,16.700000762939453,,,,,,,,
2026-05-25T08:30:00,,,,,,,,,1.1645511388778689,158.92799377441406,6.781700134277344,,,,,,,77258.71875,,,,16.670000076293945,,,,,,,,
2026-05-25T08:45:00,,,,,,,,,1.164686679840088,158.9080047607422,6.782599925994873,,,,,,,77366.7890625,,,,16.68000030517578,,,,,,,,
2026-05-25T09:00:00,,,,,,,,,1.1645511388778689,158.93699645996094,6.782700061798096,,,,,,,77380.5,,,,16.690000534057617,,,,,,,,
2026-05-25T09:15:00,,,,,,,,,1.1645511388778689,158.93299865722656,6.782800197601318,,,,,,,77428.4296875,,,,16.690000534057617,,,,,,,,
2026-05-25T09:30:00,,,,,,,,,1.164822340011597,158.91400146484375,6.782199859619141,,,,,,,77504.6171875,,,,16.690000534057617,,,,,,,,
2026-05-25T09:45:00,,,,,,,,,1.16441547870636,158.91900634765625,6.783400058746338,,,,,,,77525.0390625,,,,16.700000762939453,,,,,,,,
2026-05-25T10:00:00,,,,,,,,,1.1645511388778689,158.92599487304688,6.783699989318848,,,,,,,77550.0,,,,16.65999984741211,,,,,,,,
2026-05-25T10:15:00,,,,,,,,,1.1645511388778689,158.92799377441406,6.784200191497803,,,,,,,77461.4765625,,,,16.65999984741211,,,,,,,,
2026-05-25T10:30:00,,,,,,,,,1.164686679840088,158.9250030517578,6.784200191497803,,,,,,,77444.4609375,,,,16.639999389648438,,,,,,,,
2026-05-25T10:45:00,,,,,,,,,1.164686679840088,158.94000244140625,6.784200191497803,,,,,,,77460.046875,,,,16.639999389648438,,,,,,,,
2026-05-25T11:00:00,,,,,,,,,1.1645511388778689,158.93600463867188,6.784200191497803,,,,,,,77368.609375,,,,16.600000381469727,,,,,,,,
2026-05-25T11:15:00,,,,,,,,,1.164686679840088,158.93600463867188,6.784200191497803,,,,,,,77337.4765625,,,,16.610000610351562,,,,,,,,
2026-05-25T11:30:00,,,,,,,,,1.165229558944702,158.8939971923828,6.784200191497803,,,,,,,77398.0,,,,16.6200008392334,,,,,,,,
